"L","chi","X","X_rel","E_i","E_l","E_e","H_l","index"
0.26,3738.02731138011,5510647.90901335,1.05863354729598,2923.74561814161,48.1753702997839,36.0161699832885,709.90081603183,27
0.27,3961.63110671797,5590055.74228302,1.07037255267266,2065.52775106353,58.2903331981364,46.1849594437385,909.688906842063,28
0.28,4191.26208094464,5666771.51580687,1.08171314613157,1241.35480814513,69.947550915345,58.633703561286,1153.41996698136,29
0.29,4416.15114892368,5726986.75808466,1.09061397433708,596.940994118239,82.2988848621052,72.6888629877847,1426.0847384658,30
0.3,4640.80638854903,5763271.17462906,1.09597710258401,208.338134743026,94.1696897713414,87.4046595797044,1702.73236724673,31
0.31,4952.33781103163,5778818.29542714,1.09827500587548,40.2649553817074,103.261085786686,102.276755909917,1936.49379012508,32
0.32,6061.4605699837,5782472.85082038,1.09881515027209,3.53104575978349,94.2164853886331,114.217902245129,1825.45412856386,33
0.33,7633.2419715303,5783149.10079338,1.09891509988087,1.17670650949885,76.8861395020752,117.378101415235,1536.47553416726,34
0.34,8916.29255633165,5783455.60473395,1.09896040106568,0.730272716830222,66.4359115677624,118.47240475695,1367.97139353116,35
0.35,10046.2561605425,5783648.34847021,1.09898888851718,0.544938990680983,59.2634573771606,119.07517475407,1256.23261817898,36
0.36,11087.0148089863,5783785.70946316,1.09900919041478,0.442716776064181,53.8801740989063,119.474057629067,1174.79114603618,37
0.37,12068.8759178688,5783890.44175727,1.09902466980128,0.377633964944987,49.6169438023064,119.764147634781,1111.91524832785,38
0.38,13008.7302896035,5783973.79966969,1.09903699006182,0.333040886075006,46.1169784093882,119.984666779839,1061.43394279372,39
0.39,13916.5123252017,5784042.16639922,1.0990470946313,0.299166312288553,43.1741065032553,120.166597056425,1019.86698124279,40
0.4,14799.3757348536,5784099.50238418,1.09905556886123,0.273322735123188,40.6489164462058,120.315717540414,984.850774943775,41
0.41,15662.1446240568,5784148.4271704,1.09906279991958,0.253223376513477,38.4490883218054,120.43903639185,954.852752391316,42
0.42,16508.0834859253,5784190.75825076,1.09906905643112,0.23631248779276,36.5118600773435,120.548166876641,928.868223527443,43
0.43,17340.2489978106,5784227.80475428,1.09907453188462,0.22347262320114,34.7847770114962,120.635338942533,906.008659632458,44
0.44,18160.1108429666,5784260.53829185,1.09907936988378,0.211487235571577,33.237546449427,120.719505533969,885.848943713352,45
0.45,18969.692164215,5784289.69790776,1.09908367965904,0.201671575927045,31.8379510859814,120.79122624808,867.838001728125,46
0.46,19770.2080737109,5784315.85761869,1.09908754604982,0.193280920520653,30.5648308315283,120.854613055418,851.65472180104,47
0.47,20562.6718344129,5784339.47109791,1.09909103610882,0.185816933261241,29.4010008951347,120.912626601987,837.039848393144,48
0.48,21347.910008064,5784360.90235788,1.09909420363692,0.178825973544903,28.3325839570313,120.968290522124,823.788618636788,49
0.49,22126.9223066982,5784380.4474144,1.09909709238512,0.173240156087216,27.3454713610347,121.014224049131,811.655752206453,50
0.5,22900.125386123,5784398.34969864,1.09909973833245,0.168017806686571,26.4317367524389,121.058017160769,800.549008201099,51
0.51,23668.1436263192,5784414.81156657,1.099102171387,0.163413948923217,25.5823830281352,121.097503162683,790.323846785188,52
0.52,24431.4214242673,5784430.00273162,1.09910441663234,0.159251906984113,24.790596401517,121.133901608877,780.882688391119,53
0.53,25190.3231538609,5784444.0667321,1.09910649528337,0.155290160376579,24.0507200590614,121.16908207416,772.14857888454,54
0.54,25945.2441902625,5784457.12585991,1.09910842541476,0.151642002188463,23.3572740704976,121.202035875589,764.036636234341,55
0.55,26696.5705117345,5784469.28506173,1.09911022253759,0.148566318160299,22.7052447540905,121.230433512753,756.464228152,56
0.56,27444.4704398768,5784480.63488859,1.09911190003525,0.145568465698696,22.0915924014768,121.258410926428,749.403531221069,57
0.57,28189.282184808,5784491.25398971,1.09911346953205,0.142998365320609,21.5122296222971,121.282862249464,742.78317824872,58
0.58,28931.0517103421,5784501.21095868,1.09911494116609,0.140099565569428,20.9654403217513,121.310447615736,736.605208325232,59
0.59,29670.2649384878,5784510.56607085,1.09911632384603,0.138049143710815,20.4464975238894,121.330599719586,730.75989089376,60
0.6,30406.82547476,5784519.37224793,1.09911762539368,0.135680725995586,19.9550226599064,121.353778272931,725.284085690536,61
0.61,31092.6268254607,5784519.40772746,1.09911763029541,0.0177936880132534,19.8201463679324,123.252082928827,732.38825058908,62
0.62,31732.8402050398,5784491.73387765,1.0991135401893,0,19.9995183646173,126.928304088432,751.126449217278,63
0.63,32372.0593918175,5784461.56307808,1.09910908106558,0,20.186751227618,130.697341933659,770.381250434319,64
0.64,33010.3643188739,5784430.57506409,1.09910450108872,0,20.3815284348272,134.560335801827,790.154937649347,65
0.65,33647.7973739244,5784398.76217512,1.09909979918696,0,20.5836778019098,138.519083977761,810.454416881806,66
0.66,34284.4021903618,5784366.11605889,1.09909497414595,0,20.7930146065164,142.575215103975,831.285674577045,67
0.67,34920.2218123043,5784332.62703202,1.09909002451564,0,21.0093538039304,146.730258993286,852.654235263849,68
0.68,35555.2884664048,5784298.28293475,1.09908494850943,0,21.2325836901108,150.986127597794,874.56819450061,69
0.69,36189.6515287205,5784263.07774823,1.09907974519765,0,21.4624644595064,155.343821947417,897.030023267729,70
0.7,36823.3278345876,5784226.99519522,1.09907441221434,0,21.6989877834657,159.805788165853,920.051423209237,71
0.71,37456.346763491,5784190.02370046,1.09906894785762,0,21.9420519195706,164.373821080392,943.640058031147,72
0.72,38088.7415876782,5784152.1523633,1.09906335048819,0,22.1915222627409,169.04943138055,967.801910647976,73
0.73,38720.5307787062,5784113.36661761,1.09905761798549,0,22.4473704899356,173.834819991315,992.547335252629,74
0.74,39351.7413757981,5784073.65369619,1.09905174843775,0,22.7095014077539,178.731685234251,1017.88361909402,75
0.75,39982.4037109289,5784033.00480362,1.09904574054947,0,22.977790734958,183.741461110066,1043.81649704878,76
0.76,40612.5085158641,5783991.39027297,1.09903958994455,0,23.2524131549216,188.867765453728,1070.36515843889,77
0.77,41242.1377715061,5783948.83022236,1.09903329958839,0,23.5328409960032,194.108934102422,1097.51647021456,78
0.78,41871.2529522747,5783905.27916946,1.09902686276323,0,23.8194687515546,199.470200257029,1125.29956936979,79
